doy,hod,A(std),A(psi2),E(std),E(psi2),Ci(std),Ci(psi2),Rublim(std),Rublim(psi2),gs(std),gs(psi2),Es(std),Es(psi2),sw(std),sw(psi2),Ps(std),Ps(psi2)
[-],[h],[umol m-2 s-1],[umol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[Pa],[Pa],[-],[-],[mol m-2 s-1],[mol m-2 s-1],[mmol m-2 s-1],[mmol m-2 s-1],[m3 m-3],[m3 m-3],[MPa],[MPa]
1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327142484736618,0.3327142484736618,-0.008454598432187606,-0.008454598432187606
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327070177836026,0.3327070177836026,-0.008455818554140779,-0.008455818554140779
1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33269778037553027,0.33269778037553027,-0.008457377588695449,-0.008457377588695449
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332688542967458,0.332688542967458,-0.008458936953995246,-0.008458936953995246
1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326793055593856,0.3326793055593856,-0.008460496650119534,-0.008460496650119534
1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326700681513132,0.3326700681513132,-0.00846205667714767,-0.00846205667714767
1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33266083074324093,0.33266083074324093,-0.008463617035159049,-0.008463617035159049
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326515933351685,0.3326515933351685,-0.008465177724233122,-0.008465177724233122
1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326423559270962,0.3326423559270962,-0.008466738744449283,-0.008466738744449283
1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33263311851902383,0.33263311851902383,-0.008468300095887012,-0.008468300095887012
1.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33262388111095137,0.33262388111095137,-0.008469861778625805,-0.008469861778625805
1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.332614643702879,0.332614643702879,-0.008471423792745136,-0.008471423792745136
1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3326054062948068,0.3326054062948068,-0.008472986138324515,-0.008472986138324515
1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33259616888673443,0.33259616888673443,-0.008474548815443524,-0.008474548815443524
1.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33258693147866203,0.33258693147866203,-0.008476111824181726,-0.008476111824181726
1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33257769407058974,0.33257769407058974,-0.00847767516461868,-0.00847767516461868
1,8.5,2.7142260421330526,2.7022554962773526,0.22022143492965734,0.1871802522347706,33.90338947276598,32.98349120637873,False,False,0.13943624536149132,0.12305938368502359,0.43569926650450214,0.43569926650450214,0.3325684566625173,0.3325684566625173,-0.008479238836834043,-0.008479238836834043
1,9.0,3.8545285909180462,3.8189655757322076,0.3956643012486915,0.27030280560463277,33.32641749476659,32.041279774341405,True,True,0.17236545945914244,0.12917778470443947,0.9406753520399381,0.9406753520399381,0.33253938774615094,0.3325403867335091,-0.008484161674695399,-0.008483992441050909
1,9.5,4.146166611047096,4.06936057831638,0.49710594911468015,0.282110306495153,32.94287428206002,30.613322634806433,True,True,0.1682852524516344,0.10663142282161857,1.31226160965828,1.31226160965828,0.33248974662638003,0.332494535869992,-0.008492576032144246,-0.008491763818885494
1,10.0,4.891638106565947,4.788517236666765,0.5595877338884511,0.32391058784524107,32.956710941983275,30.010409322995798,False,False,0.1924579196722506,0.11581855101261912,0.9409106432607118,0.9409106432607118,0.33242580369114516,0.3324370932447191,-0.008503428755208502,-0.00850151147479862
1,10.5,5.756824607525245,5.5581679637454,0.7684398422492575,0.3522669557873079,32.56552683986226,28.898359518893116,False,True,0.21863048591908146,0.11449161456332918,1.8381550289389472,1.8381550289389472,0.33237119929595604,0.3323896144567356,-0.008512709126623077,-0.008509578048758057
1,11.0,6.487625605509763,6.2215204114450415,0.8607770102779605,0.4001676468459089,32.28160174278639,28.04054404487738,False,False,0.23407213277313327,0.11568450968180441,1.5746414327297789,1.5746414327297789,0.3322831525017884,0.3323141504885584,-0.008527697807145854,-0.008522417391931797
1,11.5,7.184242766520274,6.771207908754048,1.0994339771829957,0.44352884047081687,31.908681018049084,26.423872439107598,False,False,0.24015333173633027,0.1064163496280513,2.216572014359969,2.216572014359969,0.3322002811606105,0.33224520549303665,-0.008541833189377046,-0.008534167093317663
